Date,Holiday,WeekDay,Month,Day
2004,4th of July,Sunday,7,4
2005,4th of July,Monday,7,4
2006,4th of July,Tuesday,7,4
2007,4th of July,Wednesday,7,4
2008,4th of July,Friday,7,4
2009,4th of July,Saturday,7,4
2010,4th of July,Sunday,7,4
2011,4th of July,Monday,7,4
2012,4th of July,Wednesday,7,4
2013,4th of July,Thursday,7,4
2014,4th of July,Friday,7,4
2015,4th of July,Saturday,7,4
2016,4th of July,Monday,7,4
2017,4th of July,Tuesday,7,4
2018,4th of July,Wednesday,7,4
2019,4th of July,Thursday,7,4
2020,4th of July,Saturday,7,4
2021,4th of July,Sunday,7,4
2004,Christmas Day,Saturday,12,25
2005,Christmas Day,Sunday,12,25
2006,Christmas Day,Monday,12,25
2007,Christmas Day,Tuesday,12,25
2008,Christmas Day,Thursday,12,25
2009,Christmas Day,Friday,12,25
2010,Christmas Day,Saturday,12,25
2011,Christmas Day,Sunday,12,25
2012,Christmas Day,Tuesday,12,25
2013,Christmas Day,Wednesday,12,25
2014,Christmas Day,Thursday,12,25
2015,Christmas Day,Friday,12,25
2016,Christmas Day,Sunday,12,25
2017,Christmas Day,Monday,12,25
2018,Christmas Day,Tuesday,12,25
2019,Christmas Day,Wednesday,12,25
2020,Christmas Day,Friday,12,25
2021,Christmas Day,Saturday,12,25
2004,Christmas Eve,Friday,12,24
2005,Christmas Eve,Saturday,12,24
2006,Christmas Eve,Sunday,12,24
2007,Christmas Eve,Monday,12,24
2008,Christmas Eve,Wednesday,12,24
2009,Christmas Eve,Thursday,12,24
2010,Christmas Eve,Friday,12,24
2011,Christmas Eve,Saturday,12,24
2012,Christmas Eve,Monday,12,24
2013,Christmas Eve,Tuesday,12,24
2014,Christmas Eve,Wednesday,12,24
2015,Christmas Eve,Thursday,12,24
2016,Christmas Eve,Saturday,12,24
2017,Christmas Eve,Sunday,12,24
2018,Christmas Eve,Monday,12,24
2019,Christmas Eve,Tuesday,12,24
2020,Christmas Eve,Thursday,12,24
2021,Christmas Eve,Friday,12,24
2007,Columbus Day,Monday,10,8
2012,Columbus Day,Monday,10,8
2018,Columbus Day,Monday,10,8
2006,Columbus Day,Monday,10,9
2017,Columbus Day,Monday,10,9
2005,Columbus Day,Monday,10,10
2011,Columbus Day,Monday,10,10
2016,Columbus Day,Monday,10,10
2004,Columbus Day,Monday,10,11
2010,Columbus Day,Monday,10,11
2021,Columbus Day,Monday,10,11
2009,Columbus Day,Monday,10,12
2015,Columbus Day,Monday,10,12
2020,Columbus Day,Monday,10,12
2008,Columbus Day,Monday,10,13
