Date,Max TemperatureC,Mean TemperatureC,Min TemperatureC, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, CloudCover, Events,WindDirDegrees
1997,7,4,2,13,6,6,,229
1997,7,3,0,26,8,5,Rain,143
1997,5,3,2,27,19,6,Rain-Snow,256
1997,7,3,-1,27,19,2,,284
1997,2,0,-1,14,6,7,Snow,2
1997,7,3,1,11,5,4,,64
1997,2,0,-2,6,2,7,Snow,43
1997,8,4,1,26,8,7,Rain,273
1997,12,10,8,48,23,4,Rain,274
1997,13,8,3,13,5,5,,100
1997,16,10,5,11,2,3,Fog,344
1997,17,10,3,14,8,1,,345
1997,15,9,4,11,2,4,Fog,128
1997,11,6,0,14,2,4,,35
1997,11,8,5,10,3,6,Rain,16
1997,12,9,6,24,5,6,,63
1997,13,9,5,27,13,4,Rain,267
1997,6,3,2,8,2,6,Rain,357
1997,9,7,6,14,8,4,Rain,99
1997,9,7,5,13,5,5,Rain,320
1997,10,8,6,8,3,5,,65
1997,13,8,3,11,3,5,Rain,33
1997,12,10,9,10,5,7,Rain,29
1997,13,10,7,11,6,5,Rain,357
1997,12,9,7,10,3,6,,358
1997,14,9,5,6,2,2,,180
1997,15,8,2,10,2,6,Fog,5
1997,14,10,6,11,6,3,,1
1997,11,8,5,26,6,7,,140
1997,15,11,8,11,6,5,,38
1997,14,9,4,6,0,3,,34
1997,12,9,6,8,0,3,Fog,0
1997,13,9,5,10,0,5,Fog-Rain,155
1997,13,10,7,10,3,4,Fog-Rain,72
1997,12,6,0,11,5,1,,239
1997,14,7,1,8,5,2,,352
1997,16,8,1,8,5,3,,352
1997,15,8,2,8,2,3,,9
1997,15,8,2,10,2,6,,180
1997,14,7,-1,10,3,1,,359
1997,14,7,0,8,3,,,284
1997,18,11,4,11,3,2,,32
1997,18,10,3,29,10,1,Fog,306
1997,15,11,8,21,14,3,,250
1997,15,12,10,35,19,4,,252
1997,16,10,5,29,14,2,Fog,268
1997,15,7,-1,14,3,2,,214
1997,15,8,2,14,5,1,,190
1997,16,9,2,11,3,2,,15
1997,18,10,2,11,3,,,287
1997,19,10,2,8,2,0,,254
1997,20,12,4,8,2,2,,11
1997,19,12,6,19,3,6,,314
1997,17,12,7,26,6,3,Fog-Rain,210
1997,15,9,4,16,8,4,,225
1997,15,12,9,21,10,4,,201
1997,18,11,4,19,3,4,,12
1997,22,13,5,14,3,1,,74
1997,21,11,2,10,3,,,347
1997,21,12,4,8,5,,,339
1997,23,13,4,11,3,,,331
1997,23,14,5,8,2,,,359
1997,22,13,5,10,2,4,,359
1997,23,14,5,8,2,4,,349
1997,23,14,6,10,3,,,358
1997,22,13,5,11,3,0,,349
1997,20,12,5,16,5,1,,163
1997,19,11,3,13,6,,,139
1997,20,10,1,11,5,,,12
1997,22,11,1,8,3,,,336
1997,21,13,5,11,6,,,288
1997,23,13,3,10,3,,,353
1997,23,13,4,23,6,,,14
1997,21,14,8,24,11,1,,35
1997,22,13,5,11,5,,,318
1997,26,14,4,10,5,1,,2
1997,25,16,6,10,2,2,,323
1997,23,14,6,14,3,,,4
1997,23,13,4,14,5,,,284
1997,24,13,3,14,3,,,350
1997,23,14,5,23,6,,,359
1997,22,13,5,11,5,1,,329
1997,23,13,4,29,5,,,347
1997,16,11,6,37,23,2,,39
1997,20,11,3,14,8,,,6
1997,21,12,4,11,2,,,305
1997,23,13,3,27,5,2,,40
1997,22,14,8,21,6,1,,43
1997,23,14,6,10,2,1,,277
1997,23,14,6,8,2,1,,189
1997,24,14,6,8,5,1,,83
1997,25,16,6,0,0,2,,-1
1997,24,16,7,19,2,3,,4
1997,24,16,8,29,14,1,,33
1997,25,17,9,26,8,,,75
1997,23,14,7,11,6,5,,9
1997,21,16,12,34,8,5,Rain,42
1997,17,13,11,16,5,5,,61
1997,18,14,10,19,8,6,Rain,58
1997,18,14,10,19,10,4,,176
1997,23,13,4,19,3,1,,294
1997,24,16,8,14,8,,,16
1997,25,16,7,14,8,1,,349
1997,25,16,7,10,3,1,,47
1997,26,16,7,11,3,2,,223
1997,26,18,10,32,6,6,,218
1997,22,17,12,26,10,6,Rain-Thunderstorm,252
1997,18,14,11,27,6,6,Rain,232
1997,17,14,12,21,14,6,Rain,207
1997,17,14,12,14,8,6,Rain,123
1997,20,15,10,23,13,5,Rain,28
1997,21,13,7,14,10,3,,28
1997,21,14,8,26,6,2,,216
1997,21,13,7,19,10,3,,257
